Age,Gender,Current_status,Field_of_study,Hours_slept,Work_hours,Hobby_hours,Commute_time,Number_of_tasks,Task_difficulty,Social_interaction_hours,Social_interaction_quality,Stressful_event,Stress_type,Home_environment,Stress_scale,Overthinking,Stress_under_pressure
18-24,Female,Student,Computer Science,5.6,0,5.7,< 30 min,4,Hard,10,Medium,Yes,Health-related stress,Dissatisfied,4,Rarely,Slightly stressed
36+,Female,Employee,Administration,7.8,7,1.4,1 hour,6,Hard,1,High,Yes,Academic/work failure or poor performance,Satisfied,3,Rarely,Not stressed
<18,Female,Student,Psychology,8.1,1,4.2,30-60 min,2,Easy,8,High,No,None,Satisfied,2,Never,Highly stressed
25-35,Female,Employee,Other,5.5,8,2.5,30-60 min,8,Moderate,9,Low,Yes,"Academic/work failure or poor performance, Transportation problem / car issue, Arguing/conflict with someone",Satisfied,4,Almost always,Highly stressed
25-35,Male,Employee,Administration,5.0,7,2.2,< 30 min,9,Easy,1,High,No,None,Dissatisfied,1,Almost always,Not stressed
25-35,Male,Student,Psychology,5.5,0,6.3,1 hour,4,Hard,7,Low,Yes,"Health-related stress, Arguing/conflict with someone",Dissatisfied,7,Often,Highly stressed
18-24,Male,Employee,Healthcare,5.6,9,0.9,< 30 min,6,Easy,5,High,Yes,"Personal disappointment, Bad weather",Dissatisfied,8,Often,Highly stressed
18-24,Female,Both,Engineering,6.8,9,6.2,< 30 min,12,Hard,5,Medium,Yes,Transportation problem / car issue,Satisfied,3,Often,Highly stressed
18-24,Male,Student,Education,5.0,0,0.6,30-60 min,7,Hard,6,High,No,None,Dissatisfied,1,Often,Slightly stressed
18-24,Male,Employee,Teaching,5.8,8,3.3,30-60 min,9,Easy,3,Low,Yes,Health-related stress,Satisfied,8,Often,Slightly stressed
18-24,Female,Student,Arts,6.7,3,1.0,1 hour,5,Easy,4,Medium,No,None,Dissatisfied,2,Often,Not stressed
25-35,Male,Student,Engineering,6.5,2,3.4,1 hour,4,Easy,4,Medium,Yes,"Academic/work failure or poor performance, Bad weather, Financial stress",Satisfied,9,Often,Not stressed
25-35,Female,Employee,Administration,5.7,8,0.9,> 2 hours,9,Moderate,2,Medium,No,None,Dissatisfied,4,Often,Slightly stressed
18-24,Male,Employee,Customer Service,5.9,8,5.6,< 30 min,5,Moderate,1,High,No,None,Satisfied,5,Almost always,Highly stressed
18-24,Male,Student,Computer Science,7.7,2,6.1,1 hour,3,Hard,5,Medium,Yes,"Bad weather, Transportation problem / car issue, Financial stress",Satisfied,9,Often,Slightly stressed
25-35,Female,Student,Engineering,7.8,2,1.8,< 30 min,7,Moderate,2,Low,No,None,Satisfied,4,Often,Slightly stressed
25-35,Female,Both,Engineering,6.8,10,6.5,< 30 min,8,Easy,8,High,Yes,"Financial stress, Health-related stress",Satisfied,7,Often,Highly stressed
36+,Male,Student,Engineering,5.9,0,1.9,< 30 min,4,Hard,2,Low,Yes,Health-related stress,Satisfied,3,Rarely,Highly stressed
25-35,Female,Employee,Finance,7.7,9,1.9,1 hour,9,Easy,8,High,No,None,Satisfied,5,Rarely,Slightly stressed
36+,Male,Employee,Teaching,7.7,6,4.9,< 30 min,10,Moderate,1,Medium,Yes,"Health-related stress, Arguing/conflict with someone, Personal disappointment",Satisfied,4,Rarely,Slightly stressed
18-24,Male,Student,Business,7.0,1,2.4,< 30 min,3,Easy,8,Low,Yes,"Health-related stress, Financial stress, Arguing/conflict with someone",Dissatisfied,4,Often,Highly stressed
18-24,Male,Employee,IT,7.7,6,3.9,30-60 min,10,Moderate,6,Medium,No,None,Satisfied,5,Rarely,Highly stressed
18-24,Female,Student,Arts,5.9,2,1.8,> 2 hours,7,Easy,3,Medium,No,None,Satisfied,4,Almost always,Slightly stressed
18-24,Female,Employee,Customer Service,7.7,6,6.5,30-60 min,7,Moderate,9,High,No,None,Satisfied,5,Often,Not stressed
<18,Female,Student,Arts,7.8,3,6.2,< 30 min,4,Moderate,2,Low,Yes,"Academic/work failure or poor performance, Arguing/conflict with someone",Dissatisfied,7,Rarely,Slightly stressed
18-24,Female,Student,Business,8.7,1,6.5,30-60 min,4,Hard,8,Medium,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,4,Almost always,Slightly stressed
25-35,Female,Student,Business,8.2,1,1.3,< 30 min,5,Easy,5,High,Yes,"Transportation problem / car issue, Arguing/conflict with someone, Personal disappointment",Satisfied,4,Often,Not stressed
18-24,Female,Both,Computer Science,4.5,8,1.0,30-60 min,13,Hard,2,Medium,No,None,Satisfied,4,Almost always,Not stressed
18-24,Male,Student,Psychology,7.3,2,2.5,1 hour,2,Easy,5,High,No,None,Satisfied,2,Often,Not stressed
18-24,Female,Employee,Engineering,7.4,7,4.1,1 hour,9,Moderate,5,High,No,None,Satisfied,3,Almost always,Highly stressed
25-35,Female,Student,Law,8.2,2,2.0,< 30 min,6,Easy,2,Medium,No,None,Satisfied,1,Almost always,Slightly stressed
25-35,Female,Employee,Customer Service,5.9,6,2.5,30-60 min,5,Hard,8,High,Yes,"Arguing/conflict with someone, Bad weather, Personal disappointment",Dissatisfied,3,Rarely,Slightly stressed
25-35,Female,Student,Law,7.9,2,2.4,< 30 min,2,Moderate,6,High,Yes,"Transportation problem / car issue, Health-related stress, Bad weather",Satisfied,4,Rarely,Highly stressed
25-35,Female,Student,Engineering,6.4,3,4.3,> 2 hours,2,Easy,2,Medium,Yes,Arguing/conflict with someone,Satisfied,6,Often,Highly stressed
25-35,Female,Employee,Healthcare,5.5,9,5.5,30-60 min,8,Moderate,2,High,Yes,"Bad weather, Health-related stress",Satisfied,9,Almost always,Slightly stressed
25-35,Male,Student,Computer Science,7.0,2,1.9,30-60 min,4,Moderate,10,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment",Satisfied,9,Almost always,Slightly stressed
25-35,Female,Employee,Healthcare,7.2,9,1.6,1 hour,7,Moderate,10,High,No,None,Satisfied,3,Often,Slightly stressed
36+,Male,Both,Healthcare,4.8,11,4.9,> 2 hours,9,Moderate,6,Medium,No,None,Satisfied,5,Almost always,Not stressed
18-24,Female,Employee,Other,5.4,7,4.5,30-60 min,8,Easy,7,High,Yes,"Health-related stress, Arguing/conflict with someone, Transportation problem / car issue",Dissatisfied,3,Almost always,Slightly stressed
25-35,Male,Both,Finance,6.8,10,3.9,30-60 min,12,Hard,9,Medium,No,None,Satisfied,3,Never,Slightly stressed
18-24,Female,Student,Psychology,8.0,0,2.0,< 30 min,4,Moderate,9,Low,Yes,"Bad weather, Financial stress",Satisfied,7,Almost always,Highly stressed
25-35,Male,Student,Computer Science,7.5,3,3.7,< 30 min,2,Moderate,10,High,Yes,"Arguing/conflict with someone, Academic/work failure or poor performance, Health-related stress",Satisfied,3,Almost always,Highly stressed
<18,Male,Both,Business,5.8,11,2.8,1 hour,13,Easy,10,High,No,None,Satisfied,1,Often,Highly stressed
18-24,Male,Neither,None,8.4,2,6.5,< 30 min,1,Easy,1,Low,No,None,Satisfied,1,Often,Slightly stressed
25-35,Female,Student,Psychology,7.9,2,2.6,30-60 min,2,Hard,9,Medium,No,None,Satisfied,2,Rarely,Slightly stressed
18-24,Male,Student,Education,5.2,3,0.7,< 30 min,4,Easy,3,Low,Yes,"Personal disappointment, Financial stress, Arguing/conflict with someone",Satisfied,3,Never,Slightly stressed
36+,Female,Student,Psychology,8.1,2,3.3,30-60 min,4,Easy,1,Low,No,None,Dissatisfied,3,Almost always,Slightly stressed
36+,Male,Employee,Customer Service,6.3,6,1.0,30-60 min,5,Easy,5,Medium,Yes,Academic/work failure or poor performance,Dissatisfied,4,Often,Highly stressed
36+,Male,Student,Biology,7.3,2,3.4,30-60 min,7,Moderate,6,Low,Yes,"Transportation problem / car issue, Bad weather, Personal disappointment",Satisfied,4,Never,Slightly stressed
18-24,Female,Employee,Engineering,6.1,8,1.7,30-60 min,9,Moderate,9,Medium,Yes,"Health-related stress, Academic/work failure or poor performance",Satisfied,7,Often,Slightly stressed
18-24,Male,Student,Medicine,5.2,1,3.3,< 30 min,7,Moderate,6,Medium,No,None,Satisfied,3,Never,Slightly stressed
18-24,Female,Both,IT,4.3,8,6.7,1 hour,14,Hard,10,Low,Yes,Transportation problem / car issue,Dissatisfied,9,Never,Slightly stressed
25-35,Female,Student,Education,5.4,0,2.8,< 30 min,4,Moderate,3,High,Yes,"Transportation problem / car issue, Bad weather, Health-related stress",Satisfied,7,Often,Slightly stressed
18-24,Male,Employee,Engineering,7.5,9,3.6,1 hour,7,Easy,8,Medium,Yes,Financial stress,Satisfied,4,Often,Highly stressed
18-24,Male,Employee,Administration,7.8,7,6.3,1 hour,8,Moderate,5,High,Yes,"Bad weather, Arguing/conflict with someone",Dissatisfied,6,Almost always,Slightly stressed
<18,Male,Student,Education,7.4,1,7.0,< 30 min,4,Easy,7,High,No,None,Satisfied,5,Rarely,Not stressed
36+,Female,Neither,None,8.7,1,4.1,1 hour,4,Moderate,1,Medium,Yes,"Transportation problem / car issue, Personal disappointment, Arguing/conflict with someone",Satisfied,6,Almost always,Slightly stressed
18-24,Female,Student,Engineering,6.0,3,1.5,< 30 min,2,Easy,3,Medium,Yes,"Transportation problem / car issue, Academic/work failure or poor performance, Health-related stress",Satisfied,9,Rarely,Slightly stressed
18-24,Female,Both,IT,6.0,11,5.9,> 2 hours,12,Easy,8,Medium,No,None,Satisfied,1,Often,Slightly stressed
18-24,Male,Student,Law,6.2,1,7.0,> 2 hours,6,Easy,8,Medium,Yes,"Personal disappointment, Health-related stress",Satisfied,8,Often,Highly stressed
<18,Male,Neither,None,8.4,1,3.8,30-60 min,1,Hard,4,High,No,None,Satisfied,3,Often,Highly stressed
25-35,Female,Both,Medicine,6.3,9,2.4,1 hour,10,Hard,6,Medium,Yes,Arguing/conflict with someone,Satisfied,7,Often,Slightly stressed
18-24,Female,Student,Education,6.4,1,3.5,1 hour,2,Moderate,9,Medium,No,None,Satisfied,3,Almost always,Slightly stressed
18-24,Female,Both,Education,5.2,9,5.3,< 30 min,13,Easy,4,Medium,Yes,"Personal disappointment, Financial stress, Health-related stress",Dissatisfied,8,Often,Not stressed
25-35,Female,Student,Psychology,5.2,3,5.3,< 30 min,3,Moderate,4,Low,No,None,Dissatisfied,5,Never,Slightly stressed
18-24,Female,Employee,Engineering,5.5,9,2.4,30-60 min,10,Easy,5,Medium,No,None,Satisfied,1,Never,Slightly stressed
36+,Female,Both,Engineering,4.6,9,1.4,< 30 min,12,Moderate,6,Medium,Yes,"Health-related stress, Academic/work failure or poor performance, Personal disappointment",Satisfied,3,Rarely,Slightly stressed
36+,Male,Both,Law,4.6,10,4.4,30-60 min,13,Easy,5,Medium,No,None,Satisfied,3,Often,Highly stressed
18-24,Female,Both,Administration,6.7,8,3.2,< 30 min,12,Hard,4,Low,No,None,Satisfied,2,Never,Slightly stressed
25-35,Male,Employee,Finance,7.0,7,3.3,< 30 min,11,Easy,3,Medium,No,None,Satisfied,4,Almost always,Highly stressed
18-24,Female,Student,Business,8.9,1,2.4,1 hour,2,Moderate,1,High,Yes,Financial stress,Satisfied,8,Often,Slightly stressed
18-24,Female,Student,Biology,5.1,0,6.0,< 30 min,3,Hard,9,Low,Yes,Personal disappointment,Satisfied,8,Rarely,Not stressed
25-35,Female,Student,Law,8.6,2,3.8,30-60 min,7,Easy,4,Low,No,None,Satisfied,2,Rarely,Highly stressed
18-24,Male,Employee,Customer Service,5.2,8,3.4,1 hour,5,Hard,8,High,Yes,"Financial stress, Transportation problem / car issue",Dissatisfied,7,Never,Slightly stressed
18-24,Female,Employee,Customer Service,7.0,8,6.7,< 30 min,6,Moderate,2,High,No,None,Dissatisfied,5,Often,Highly stressed
36+,Male,Student,Computer Science,6.9,0,4.2,< 30 min,6,Easy,1,Medium,Yes,"Financial stress, Academic/work failure or poor performance",Satisfied,3,Often,Slightly stressed
18-24,Male,Student,Law,5.9,0,6.8,30-60 min,7,Easy,7,Low,No,None,Satisfied,2,Rarely,Slightly stressed
18-24,Male,Both,Other,5.6,11,5.1,1 hour,12,Easy,6,Medium,Yes,Health-related stress,Satisfied,5,Never,Highly stressed
18-24,Male,Employee,Finance,6.9,7,6.6,1 hour,5,Moderate,2,Medium,Yes,Financial stress,Satisfied,6,Rarely,Highly stressed
25-35,Male,Both,Administration,7.0,11,0.5,30-60 min,9,Hard,5,High,No,None,Satisfied,3,Often,Not stressed
<18,Male,Neither,None,8.5,0,3.6,< 30 min,3,Moderate,1,High,Yes,"Health-related stress, Academic/work failure or poor performance, Bad weather",Satisfied,4,Almost always,Not stressed
36+,Female,Student,Business,8.5,0,3.6,< 30 min,5,Moderate,1,Medium,Yes,"Health-related stress, Bad weather",Satisfied,9,Almost always,Slightly stressed
36+,Male,Both,Administration,5.9,11,1.0,< 30 min,12,Moderate,4,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment, Bad weather",Satisfied,3,Often,Highly stressed
18-24,Female,Both,Teaching,5.4,9,3.9,30-60 min,13,Easy,9,Low,Yes,"Financial stress, Academic/work failure or poor performance, Transportation problem / car issue",Satisfied,6,Almost always,Slightly stressed
18-24,Male,Student,Arts,8.2,3,1.9,30-60 min,2,Easy,5,Medium,No,None,Satisfied,3,Never,Slightly stressed
18-24,Female,Employee,Finance,5.5,9,4.1,30-60 min,5,Easy,7,Low,Yes,Financial stress,Satisfied,7,Often,Slightly stressed
18-24,Male,Both,Engineering,5.2,9,6.4,30-60 min,10,Moderate,6,Medium,Yes,"Health-related stress, Arguing/conflict with someone, Academic/work failure or poor performance",Satisfied,7,Often,Slightly stressed
36+,Male,Both,Arts,4.9,11,2.0,< 30 min,14,Easy,8,High,Yes,"Bad weather, Academic/work failure or poor performance",Dissatisfied,8,Rarely,Slightly stressed
18-24,Female,Student,Business,8.3,2,2.5,< 30 min,5,Moderate,4,Low,Yes,"Arguing/conflict with someone, Transportation problem / car issue, Personal disappointment",Dissatisfied,6,Often,Highly stressed
<18,Female,Student,Arts,7.2,0,5.3,< 30 min,4,Moderate,4,Medium,Yes,"Transportation problem / car issue, Personal disappointment",Satisfied,8,Almost always,Slightly stressed
25-35,Female,Employee,Finance,5.2,9,6.3,30-60 min,6,Moderate,7,Medium,Yes,"Bad weather, Health-related stress, Transportation problem / car issue",Satisfied,9,Often,Slightly stressed
18-24,Male,Student,Education,8.9,0,6.2,< 30 min,2,Easy,4,Medium,Yes,Bad weather,Dissatisfied,5,Often,Slightly stressed
25-35,Male,Both,Healthcare,5.2,9,2.4,1 hour,11,Moderate,2,Medium,No,None,Satisfied,2,Rarely,Highly stressed
25-35,Male,Employee,Engineering,6.8,7,3.0,< 30 min,8,Hard,5,Low,No,None,Dissatisfied,1,Almost always,Highly stressed
25-35,Female,Employee,Engineering,6.1,7,2.4,30-60 min,7,Hard,1,Medium,Yes,Arguing/conflict with someone,Satisfied,8,Often,Slightly stressed
18-24,Male,Neither,None,8.6,0,4.3,1 hour,2,Easy,8,Low,No,None,Satisfied,4,Often,Slightly stressed
18-24,Female,Neither,None,8.2,0,5.4,< 30 min,1,Hard,10,Medium,Yes,Academic/work failure or poor performance,Dissatisfied,4,Rarely,Slightly stressed
18-24,Female,Both,Teaching,4.5,9,6.0,30-60 min,10,Easy,6,Low,Yes,Bad weather,Satisfied,3,Often,Highly stressed
25-35,Male,Both,Administration,6.3,11,3.8,1 hour,13,Moderate,1,High,Yes,"Financial stress, Transportation problem / car issue, Bad weather",Dissatisfied,5,Often,Not stressed
25-35,Female,Employee,Freelancing,8.0,9,1.7,1 hour,10,Easy,8,Medium,No,None,Satisfied,2,Rarely,Highly stressed
18-24,Male,Both,Computer Science,6.5,8,5.6,> 2 hours,10,Moderate,10,Medium,No,None,Dissatisfied,4,Rarely,Slightly stressed
18-24,Male,Both,Customer Service,6.6,10,5.1,30-60 min,9,Hard,1,Medium,Yes,"Financial stress, Academic/work failure or poor performance, Bad weather",Dissatisfied,8,Often,Highly stressed
25-35,Male,Employee,IT,5.1,8,1.6,< 30 min,10,Easy,8,Medium,Yes,Academic/work failure or poor performance,Satisfied,4,Often,Not stressed
<18,Female,Student,Biology,7.8,2,5.0,< 30 min,4,Easy,10,Medium,Yes,"Arguing/conflict with someone, Transportation problem / car issue, Bad weather",Dissatisfied,5,Often,Highly stressed
36+,Female,Both,Administration,6.7,10,1.1,< 30 min,10,Moderate,4,Medium,Yes,"Bad weather, Personal disappointment, Academic/work failure or poor performance",Satisfied,8,Rarely,Slightly stressed
18-24,Male,Student,Psychology,5.5,0,6.1,30-60 min,7,Easy,1,Medium,Yes,"Bad weather, Financial stress, Personal disappointment",Satisfied,5,Often,Highly stressed
25-35,Female,Student,Arts,8.4,1,6.3,30-60 min,3,Hard,10,Medium,Yes,"Health-related stress, Transportation problem / car issue, Academic/work failure or poor performance",Dissatisfied,5,Almost always,Highly stressed
25-35,Male,Both,Law,5.1,9,6.0,1 hour,13,Easy,5,High,Yes,"Personal disappointment, Bad weather",Satisfied,5,Rarely,Highly stressed
25-35,Male,Employee,Finance,6.6,6,6.6,1 hour,5,Easy,3,Medium,No,None,Dissatisfied,4,Rarely,Slightly stressed
18-24,Female,Student,Education,7.1,0,4.2,< 30 min,6,Moderate,7,Medium,No,None,Satisfied,2,Rarely,Slightly stressed
25-35,Female,Employee,Customer Service,6.8,6,1.2,1 hour,5,Moderate,7,Low,Yes,Academic/work failure or poor performance,Satisfied,9,Often,Slightly stressed
<18,Female,Student,Business,6.1,1,6.2,1 hour,2,Moderate,4,Low,No,None,Satisfied,1,Almost always,Slightly stressed
36+,Male,Student,Engineering,6.1,3,2.2,< 30 min,7,Hard,10,Medium,Yes,Academic/work failure or poor performance,Satisfied,7,Often,Highly stressed
18-24,Male,Both,Engineering,4.1,11,6.3,30-60 min,8,Easy,3,Medium,Yes,Personal disappointment,Dissatisfied,6,Almost always,Not stressed
18-24,Female,Employee,Administration,7.7,9,2.6,1 hour,9,Moderate,2,Medium,No,None,Satisfied,5,Often,Slightly stressed
25-35,Female,Employee,Teaching,5.4,9,5.3,> 2 hours,7,Easy,6,High,No,None,Satisfied,5,Almost always,Highly stressed
18-24,Female,Employee,Other,7.6,8,3.2,1 hour,6,Easy,5,High,No,None,Satisfied,1,Rarely,Highly stressed
<18,Female,Both,Biology,5.6,8,4.0,30-60 min,13,Moderate,9,Low,Yes,Transportation problem / car issue,Dissatisfied,7,Almost always,Not stressed
36+,Male,Neither,None,8.8,1,6.1,< 30 min,3,Easy,5,Medium,Yes,"Academic/work failure or poor performance, Health-related stress",Satisfied,7,Often,Not stressed
25-35,Male,Employee,Healthcare,7.1,9,3.8,30-60 min,10,Moderate,6,Medium,Yes,"Academic/work failure or poor performance, Bad weather, Arguing/conflict with someone",Dissatisfied,9,Almost always,Not stressed
18-24,Female,Employee,Engineering,6.0,9,6.5,1 hour,10,Hard,5,High,No,None,Satisfied,3,Rarely,Slightly stressed
18-24,Female,Both,Customer Service,5.9,11,3.7,30-60 min,14,Moderate,1,High,No,None,Satisfied,1,Rarely,Slightly stressed
18-24,Male,Both,Law,4.5,9,5.2,1 hour,12,Moderate,4,Medium,Yes,Personal disappointment,Satisfied,7,Almost always,Slightly stressed
18-24,Female,Student,Medicine,8.2,1,1.7,< 30 min,5,Easy,2,High,No,None,Satisfied,5,Rarely,Slightly stressed
25-35,Female,Student,Education,6.4,2,4.1,< 30 min,6,Hard,10,Medium,Yes,"Personal disappointment, Health-related stress, Transportation problem / car issue",Satisfied,9,Never,Slightly stressed
<18,Female,Student,Education,7.0,0,3.8,30-60 min,2,Easy,2,Low,No,None,Dissatisfied,4,Rarely,Not stressed
36+,Male,Student,Business,7.5,1,4.1,< 30 min,2,Hard,10,Low,Yes,"Academic/work failure or poor performance, Personal disappointment",Dissatisfied,7,Often,Slightly stressed
<18,Male,Student,Medicine,8.4,1,2.4,< 30 min,3,Hard,4,Medium,No,None,Satisfied,3,Never,Slightly stressed
36+,Male,Student,Engineering,8.1,2,6.5,< 30 min,7,Moderate,7,Low,No,None,Satisfied,5,Rarely,Slightly stressed
25-35,Female,Student,Engineering,8.9,0,4.0,1 hour,4,Hard,8,Low,Yes,"Bad weather, Arguing/conflict with someone",Satisfied,5,Rarely,Slightly stressed
25-35,Female,Neither,None,6.7,2,4.7,1 hour,2,Hard,5,Medium,No,None,Satisfied,3,Often,Not stressed
36+,Male,Both,Teaching,4.6,11,6.6,30-60 min,8,Easy,3,Low,Yes,"Health-related stress, Personal disappointment, Transportation problem / car issue",Satisfied,5,Often,Slightly stressed
18-24,Male,Student,Education,5.5,2,6.6,30-60 min,5,Hard,9,High,No,None,Satisfied,3,Never,Slightly stressed
18-24,Male,Employee,Other,7.2,8,0.8,30-60 min,7,Easy,3,High,No,None,Satisfied,4,Rarely,Slightly stressed
25-35,Male,Employee,Administration,6.6,9,4.4,1 hour,9,Moderate,5,High,Yes,"Financial stress, Health-related stress",Satisfied,4,Often,Not stressed
25-35,Female,Student,Engineering,7.0,1,1.0,30-60 min,3,Moderate,7,Low,No,None,Satisfied,2,Often,Slightly stressed
18-24,Female,Employee,Engineering,7.5,6,6.8,> 2 hours,9,Easy,2,Medium,Yes,"Financial stress, Bad weather, Health-related stress",Satisfied,9,Almost always,Slightly stressed
18-24,Male,Student,Biology,5.7,3,3.8,< 30 min,5,Easy,3,Low,Yes,"Health-related stress, Arguing/conflict with someone, Financial stress",Satisfied,5,Often,Slightly stressed
25-35,Female,Student,Education,8.0,1,6.2,30-60 min,2,Easy,7,Medium,No,None,Satisfied,5,Often,Highly stressed
18-24,Female,Student,Arts,8.3,3,0.8,< 30 min,5,Easy,5,Low,Yes,Personal disappointment,Dissatisfied,8,Often,Slightly stressed
25-35,Female,Employee,Finance,6.8,7,1.8,30-60 min,5,Moderate,5,High,No,None,Dissatisfied,4,Rarely,Highly stressed
36+,Male,Employee,Teaching,6.3,6,3.3,30-60 min,6,Easy,4,Medium,Yes,"Bad weather, Arguing/conflict with someone",Satisfied,9,Often,Not stressed
36+,Male,Employee,Finance,5.2,9,5.0,30-60 min,8,Moderate,10,Low,Yes,Financial stress,Satisfied,7,Rarely,Slightly stressed
25-35,Male,Employee,Customer Service,5.3,8,4.5,> 2 hours,10,Moderate,7,Low,No,None,Satisfied,5,Rarely,Highly stressed
25-35,Male,Student,Business,6.9,0,5.9,< 30 min,3,Moderate,6,Low,Yes,"Personal disappointment, Health-related stress, Arguing/conflict with someone",Satisfied,9,Rarely,Not stressed
<18,Male,Employee,Customer Service,7.1,8,4.1,30-60 min,5,Easy,4,Medium,Yes,"Personal disappointment, Financial stress, Arguing/conflict with someone",Satisfied,6,Often,Highly stressed
36+,Male,Student,Psychology,8.1,1,2.7,< 30 min,4,Moderate,4,High,Yes,Transportation problem / car issue,Dissatisfied,9,Almost always,Highly stressed
36+,Male,Student,Medicine,6.9,2,2.0,< 30 min,6,Easy,6,High,Yes,"Personal disappointment, Transportation problem / car issue",Satisfied,5,Often,Slightly stressed
<18,Female,Both,Arts,4.2,9,2.8,1 hour,13,Easy,5,Medium,No,None,Dissatisfied,2,Rarely,Slightly stressed
36+,Male,Student,Engineering,6.5,2,0.7,< 30 min,7,Hard,7,High,No,None,Dissatisfied,1,Rarely,Not stressed
25-35,Male,Employee,Teaching,6.7,6,6.8,1 hour,7,Moderate,8,High,No,None,Satisfied,2,Often,Slightly stressed
<18,Male,Neither,None,8.0,1,1.3,> 2 hours,3,Easy,1,Medium,Yes,"Personal disappointment, Academic/work failure or poor performance",Dissatisfied,6,Often,Slightly stressed
36+,Male,Employee,Teaching,5.2,6,6.4,30-60 min,11,Easy,4,Medium,Yes,"Transportation problem / car issue, Financial stress",Satisfied,5,Often,Highly stressed
18-24,Male,Employee,IT,5.1,8,2.8,> 2 hours,8,Moderate,10,Medium,No,None,Satisfied,1,Never,Not stressed
18-24,Male,Employee,IT,7.2,9,2.9,> 2 hours,11,Moderate,10,High,No,None,Satisfied,5,Almost always,Slightly stressed
36+,Female,Student,Computer Science,5.9,0,3.6,< 30 min,6,Hard,4,Medium,No,None,Satisfied,2,Rarely,Not stressed
36+,Female,Student,Engineering,9.0,0,6.2,30-60 min,5,Easy,9,High,No,None,Dissatisfied,1,Often,Highly stressed
<18,Male,Student,Medicine,7.4,1,0.6,30-60 min,5,Moderate,2,Medium,Yes,Health-related stress,Satisfied,7,Never,Slightly stressed
25-35,Male,Student,Biology,6.4,0,3.9,1 hour,2,Moderate,9,Medium,No,None,Satisfied,5,Often,Highly stressed
25-35,Female,Employee,Engineering,7.7,9,1.8,1 hour,8,Moderate,9,Low,No,None,Satisfied,4,Almost always,Not stressed
25-35,Male,Employee,Freelancing,7.7,6,4.2,30-60 min,8,Easy,10,High,No,None,Satisfied,3,Often,Not stressed
36+,Male,Employee,Teaching,5.4,8,6.3,1 hour,11,Easy,9,Medium,No,None,Satisfied,3,Almost always,Slightly stressed
18-24,Female,Student,Arts,8.2,1,1.3,< 30 min,5,Moderate,7,Medium,No,None,Satisfied,3,Never,Not stressed
25-35,Male,Student,Biology,7.2,3,1.7,< 30 min,2,Easy,10,High,No,None,Satisfied,1,Often,Slightly stressed
18-24,Female,Employee,Finance,6.5,9,5.2,30-60 min,11,Easy,3,Medium,Yes,"Academic/work failure or poor performance, Personal disappointment, Health-related stress",Satisfied,6,Often,Highly stressed
18-24,Female,Student,Medicine,6.0,1,1.8,30-60 min,6,Hard,2,Medium,Yes,Health-related stress,Satisfied,5,Rarely,Not stressed
18-24,Female,Employee,Other,7.5,6,6.4,> 2 hours,8,Moderate,10,High,Yes,"Arguing/conflict with someone, Academic/work failure or poor performance, Financial stress",Satisfied,6,Never,Slightly stressed
18-24,Male,Student,Biology,6.7,3,6.1,30-60 min,6,Moderate,9,Medium,Yes,"Financial stress, Academic/work failure or poor performance, Personal disappointment",Satisfied,9,Almost always,Not stressed
<18,Male,Both,Other,6.0,10,2.9,30-60 min,9,Easy,10,High,Yes,"Transportation problem / car issue, Personal disappointment",Satisfied,7,Often,Slightly stressed
18-24,Male,Employee,Engineering,5.9,9,4.3,30-60 min,5,Easy,6,High,Yes,Academic/work failure or poor performance,Dissatisfied,7,Often,Highly stressed
25-35,Female,Both,Other,5.0,10,4.6,30-60 min,12,Moderate,7,High,Yes,"Financial stress, Health-related stress",Satisfied,4,Almost always,Highly stressed
18-24,Female,Both,Law,6.8,9,3.2,30-60 min,13,Easy,1,Medium,No,None,Satisfied,3,Often,Slightly stressed
36+,Female,Employee,Finance,8.0,6,6.4,< 30 min,9,Hard,2,Low,Yes,Personal disappointment,Satisfied,6,Rarely,Slightly stressed
18-24,Female,Employee,Other,7.5,7,4.4,1 hour,5,Moderate,3,Low,Yes,Transportation problem / car issue,Satisfied,9,Never,Slightly stressed
18-24,Male,Employee,Finance,6.8,7,1.7,> 2 hours,8,Moderate,3,Medium,No,None,Satisfied,2,Often,Highly stressed
18-24,Female,Student,Law,8.9,2,2.0,< 30 min,7,Easy,6,Medium,Yes,"Health-related stress, Bad weather",Satisfied,8,Often,Not stressed
36+,Male,Both,Engineering,4.5,11,5.6,30-60 min,12,Easy,3,Medium,Yes,"Bad weather, Academic/work failure or poor performance, Arguing/conflict with someone",Dissatisfied,3,Often,Highly stressed
25-35,Female,Employee,Customer Service,8.0,8,6.2,< 30 min,11,Easy,3,Medium,Yes,Arguing/conflict with someone,Dissatisfied,9,Often,Slightly stressed
18-24,Male,Neither,None,7.5,1,4.5,1 hour,3,Easy,10,Medium,Yes,"Personal disappointment, Health-related stress, Transportation problem / car issue",Satisfied,9,Rarely,Slightly stressed
36+,Female,Student,Law,8.1,1,5.6,> 2 hours,2,Moderate,4,High,Yes,Financial stress,Dissatisfied,6,Often,Highly stressed
18-24,Female,Both,Administration,5.9,10,3.8,30-60 min,11,Moderate,5,High,No,None,Dissatisfied,1,Often,Slightly stressed
